model,phi,zc,z1100,age,cv,tcut,n,est.rec,sd.rec,est.lost,sd.lost,est.ratio,sd.ratio,est.chaos,sd.chaos,est.transformed,sd.transformed,est.Tanomaly,sd.Tanomaly,est.Panomaly,sd.Panomaly,est.subducted,sd.subducted,est.med.maxP,sd.med.maxP,est.iqr.maxP,sd.iqr.maxP,est.max.maxP,sd.max.maxP,est.med.maxT,sd.med.maxT,est.iqr.maxT,sd.iqr.maxT,est.max.maxT,sd.max.maxZ,est.med.maxZ,sd.med.maxZ,est.iqr.maxZ,sd.iqr.maxZ,est.max.maxZ
cdf78,36.3,90,78,55,66,41,18934,1465.18,12.293859845426487,15574.82,12.293859845426491,0.08598474178403756,7.214706482057795e-4,147.53,3.7724546573039346,1114.22,10.533812800748459,17.89,1.340096483787114,67.73,17.24151379606205,14239.01,24.826466408722645,8917.09597436728,15.302586778794948,3001.6696649538612,56.55022545073505,29828.68150263191,104.34185968649686,566.7481301879883,1.3020807022577854,90.5043846130371,0.7357342481313771,991.9285272216797,320.1256037011926,35510.169140625,32.14772510859875,7847.838779296875,181.5625999337316,97757.732265625
cdg78,44,88,78,55,80,42,18945,1444.34,11.24584771856221,15605.66,11.245847718562217,0.08471202346041055,6.595805113526229e-4,62.86,2.4495722157968816,1189.69,10.80562423701265,26.21,1.4445648745444695,127.51,3.35897711702942,14219.41,15.702470371173309,8820.596032119372,17.302074659393643,3110.6128129343842,20.170300160215557,29372.506945990193,819.6396237999984,566.6861801147461,0.5229243564162457,69.37680725097657,1.3097425389762738,973.1485778808594,2580.75065388462,35758.7562890625,28.615335729588494,7505.06857421875,58.36927997994904,96435.453125
cdh78,55,85,78,55,100,35,18960,1330.73,11.772983110203262,15733.27,11.772983110203274,0.0779846460384435,6.899310308370404e-4,174.07,3.967685125173777,1049.65,9.793189759039977,21.56,1.2658689673201733,157.76,5.107174592985086,14350.01,15.080588231701755,8397.786233792227,16.69911981114012,2034.940705920083,41.592537084847535,17341.695243422073,329.69020396397195,562.1909848022461,0.33294327503831006,56.35614639282227,0.9576767418583291,767.113037109375,997.0560584168703,35117.7608203125,21.024521459070037,4155.58107421875,87.126223494177,59313.67484375
cdi78,34,97,78,85,40,70,18860,1943.22,10.923591373026017,15030.78,10.923591373026019,0.11448214916931779,6.435484489823261e-4,50.44,2.2125445838114857,1714.78,12.361213369228599,5.32,0.7898344027949052,87.69,3.9458327333524865,13181.41,15.110431877188404,17231.258325359453,45.76175372714291,11105.628846551539,414.00400156393044,29503.914489754672,77.06788794587823,641.1467501831055,1.2874044887236904,161.27926239013672,2.048296074528863,922.4639184570312,228.0491510041933,58919.249375,132.10765340599343,32897.39255859375,1256.5574858961845,96650.0434375
cdj78,56.1,91,78,85,66,54,18911,1013.7,10.284341338543596,16005.3,10.284341338543602,0.059562841530054644,6.042858768754687e-4,191.57,4.24086659716496,1235.04,10.547554649818546,32.58,1.4986862934118685,148.53,9.103728839760047,14430.16,17.162750362339967,9068.782811551917,10.606940945445055,857.6011152933735,19.80063271344019,18277.333066924104,1049.8047282733862,560.1118344116211,0.4538538712954781,87.01682723999023,1.1349550926857719,758.05595703125,3069.992226215946,39389.9204296875,53.69137550865585,5589.886474609375,60.533106996830725,62853.270625
cdk78,68,84,78,85,80,40,18909,1002.56,10.892792538781285,16015.44,10.89279253878129,0.05891174051004818,6.400747760477899e-4,426.73,6.3831454201314815,844.5,8.475156802577922,51.45,1.8982980149426902,222.07,4.092997222406369,14522.14,17.049553446564886,9686.870465254182,2.5678033542592438,478.56448143523687,15.9226832746641,19239.8210314017,2487.4692154466293,549.493498840332,0.7790875787993429,88.75256858825684,0.8633859055597466,908.2653497314453,7070.972194836789,36829.80501953125,32.11717494717705,5523.08525390625,67.70111256678673,65903.428828125
cdl78,85,77,78,85,100,30,18910,847.86,9.841183307351251,16171.14,9.841183307351242,0.049818438216111406,5.782468598243874e-4,5850.23,19.48884944077645,655.64,7.41622572744412,35.87,1.7387735140993303,232.03,5.36440758023369,9433.24,21.489541736398284,10420.543861406784,13.687104319574045,829.7949827598057,8.742317034384758,16630.547347244217,147.76019906740112,538.1957476806641,0.40340253545749666,97.01090454101562,2.0229184218207283,768.3806005859375,427.3149591828379,37256.88119140625,24.12020448154607,5402.33478515625,102.92431621915652,57982.265546875
cdm78,44,78,78,110,40,64,18885,1532.82,13.555259145625005,15463.18,13.555259145625008,0.09018710284772888,7.975558452356437e-4,1377.47,10.465387877873585,1049.59,10.167381991725136,8.07,0.9455370981830411,367.82,12.832550153198055,12669.19,22.381312099900022,15530.449213519661,119.94159806095243,11526.037346287087,113.6582333780353,34508.04902851998,398.4034018266727,655.360348815918,0.6234096445963065,219.45500701904297,3.71089563357746,1020.6183044433594,1252.8004900839346,56387.0643359375,277.74889574334475,31516.1022265625,323.2211753170758,112753.48375
cdn78,72.6,87,78,110,66,51,18935,654.24,8.081803979035591,16386.76,8.081803979035598,0.0383921131389003,4.742564391195114e-4,535.2,7.5638694602776715,1198.18,10.856622984439616,39.72,1.912637398510709,562.61,8.2252321817955,14091.65,16.830932922161598,12008.369871245543,18.683178500873662,1656.1419972993003,37.2541016638199,17952.02196272182,135.30056836942185,597.2947561645508,1.0340926097172445,65.17610885620117,0.7391088087722512,788.6576531982422,302.170948158782,46829.2651953125,50.740652686024696,5947.79107421875,84.71051605007332,63746.65109375
cdo78,88,85,78,110,80,41,18944,457.25,6.470406603619407,16591.75,6.470406603619407,0.026819754824329873,3.79518247616834e-4,1760.04,11.453833551711094,836.67,9.498596387537127,30.83,1.7641491496532318,862.94,8.921452977644574,13132.1,17.126092090813646,12415.436021293763,9.89616349731243,1089.279763388701,16.48616364975803,24051.950085198154,1138.7967912796241,605.4184228515625,0.7688506622423269,63.532943420410156,1.3169376726648225,971.2820043945312,3436.838094647674,44384.06486328125,40.20878020833305,3521.13953125,89.12808822938777,81007.97625
cdp78,110,78,78,110,100,29,18940,668.82,7.894992659332184,16377.18,7.894992659332182,0.03923618444209785,4.631580816222098e-4,7640.38,20.405376593912543,555.72,7.159199774705368,45.86,2.174322139812031,702.89,16.331722245836524,7478.19,22.866629119149312,12331.46702976032,14.961014492821416,1201.5162199957379,37.27372168762424,25214.511137092228,313.92507753226556,602.3383386230469,0.5228175731396723,63.18691879272461,1.3070212000575983,971.7679479980469,973.9429367012322,43597.5418359375,46.967630549118766,4254.3288671875,55.95649462371128,84580.32671875
cda94,13,95,94,32.6,40,64,19634,1916.04,12.93020893219838,15753.96,12.930208932198385,0.10843463497453311,7.317605507752344e-4,59.11,2.5101611683135183,430.01,6.054458245496844,5.47,0.6269212893420537,21.64,2.85515659674197,15243.2,14.790797029493612,13766.88368126815,23.817542127753562,14907.246676712142,37.647041660273835,32820.99110592275,112.97530668303811,641.8350827026367,0.9849055635907029,201.8836393737793,2.4725520127821206,932.6474987792968,348.71162935824395,46795.60400390625,90.58732667657905,47303.289619140625,126.73535263345337,106809.367890625
